"Area_Id","Area_erpid","Area_Name","Status","Distributor_Id","Distributor_Name","Distributor_Erp_ID","Distributor_Status","Zone_ID","Zone","Subzone","Count_of_Outlets"
"20","","New Ambaji_Area","Active","30","New Ambaji","0","active","1","WEST","Maharastra",""
"21","","Velly Agencies_Area","Active","32","Velly Agencies","0","active","1","WEST","Maharastra",""
"22","","S.K.Pharma_Area","Active","34","S.K.Pharma","0","active","1","WEST","Maharastra",""
"23","","Tanvi Agencies_Area","Active","35","Tanvi Agencies","0","active","1","WEST","Maharastra","574"
"24","","Navkar Apotek LLP_Area","Active","36","Navkar Apotek LLP","0","active","1","WEST","Maharastra","876"
"25","","N.Munot & Traders_Area","Active","37","N.Munot & Traders","0","active","1","WEST","Maharastra","1171"
"26","","Namrata Enterprises_Area","Active","38","Namrata Enterprises","0","active","1","WEST","Maharastra",""
"27","","S.K.& Sons_Area","Active","39","S.K.& Sons","0","active","1","WEST","Maharastra","58"
"28","","Shree Yash Pharma_Area","Active","40","Shree Yash Pharma","0","active","1","WEST","Maharastra",""
"29","","Thakurji Trading Co_Area","Active","41","Thakurji Trading Co","0","active","1","WEST","Maharastra","209"
"30","","Sanvitu Associates_Area","Active","42","Sen vittu Associates","0","active","1","WEST","Goa","315"
"31","","Raskar Pharma_Area","Active","43","Raskar Pharma","0","active","1","WEST","Maharastra","299"
"32","","Priyanka Agencies_Area","Active","44","Priyanka Agencies","0","active","1","WEST","Goa",""
"33","","V.P.Medicos_Area","Active","45","V.P.Medicos","0","active","1","WEST","Maharastra",""
"34","","Chaitanya Marketing_Area","Active","46","Chaitanya Marketing","0","Inactive","1","WEST","Maharastra",""
"35","","Akanksha Medical_Area","Active","47","Akanksha Medical","0","active","1","WEST","Maharastra",""
"36","","Sai Prasad_Area","Active","48","Sai Prasad","0","active","1","WEST","Maharastra","1187"
"37","","Shri Samarth and Companey_Area","Active","49","Shri Samarth and Company","0","active","1","WEST","Maharastra","1583"
"38","","Niramay Pharma_Area","Active","50","Niramay Pharma","0","active","1","WEST","Maharastra","2"
"39","","Om Marketing_Area","Active","51","Om Marketing","0","active","1","WEST","Maharastra","1"
"40","","Aditya Enterprises_Area","Active","52","Aditya Enterprises","0","Inactive","1","WEST","Maharastra",""
"41","","Bridge Medi Sales_Area","Active","53","Bridge Medi Sales","0","active","1","WEST","Maharastra",""
"42","","GMV Pharma_Area","Active","54","GMV Pharma","0","active","1","WEST","Maharastra",""
"43","","Atharva Age_Area","Active","55","Atharva Agency","0","active","1","WEST","Maharastra","2543"
"44","","Shri Mahalaxmi Agencies_Area","Active","56","Shri Mahalaxmi Agencies","0","active","1","WEST","Maharastra","139"
"45","","Sai Plus Pharma_Area","Active","57","Sai Plus Pharma","0","active","1","WEST","Maharastra","39"
"46","","Kavya Enterprises_Area","Active","58","Kavya Enterprises","0","active","1","WEST","Maharastra","20"
"47","","Rote Agencies_Area","Active","59","Rote Agencies","0","active","1","WEST","Maharastra","103"
"48","","Morya Distributor_Area","Active","60","Morya Distributor","0","active","1","WEST","Maharastra","74"
"49","","Hari Om Enterprises_Area","Active","61","Hari Om Enterprises","0","active","1","WEST","Maharastra","134"
"50","","Omkar Medical & Cosmetics_Area","Active","62","Omkar Medical & Cosmetics","0","active","1","WEST","Maharastra",""
"51","","Charak Agencies_Area","Active","63","Charak Agencies","0","active","1","WEST","Maharastra","1"
"52","","PIUS AGENCY_Area","Active","64","PIUS AGENCY","0","active","1","WEST","Maharastra",""
"53","","Vasudha Enterprises_Pune_Area","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","3"
"54","","Chaitanya Marketing_Nasik_Area","Active","82","Chaitanya Marketing","0","active","1","WEST","Maharastra","366"
"55","","Siddhant Marketing_Kolhapur_Area","Active","84","Siddhant Marketing","0","active","1","WEST","Maharastra","1"
"56","","Arihant Marketing_Solapur_Area","Active","83","Arihant Marketing","0","active","1","WEST","Maharastra","1777"
"57","","Rajlakshmi Pharma_Area","Active","77","Rajlakshmi Pharma","0","active","1","WEST","Maharastra","2684"
"58","","Suraj Cosmetics_Area","Active","68","Suraj Cosmetics","0","active","1","WEST","Maharastra",""
"59","","Rishikesh Agencies_Area","Active","69","Rishikesh Agencies","0","active","1","WEST","Maharastra","44"
"60","","Riddhi Agencies_Area","Active","70","Riddhi Agencies","0","active","1","WEST","Maharastra","13"
"61","","Anand Medical_Area","Active","71","Anand Medical","0","active","1","WEST","Maharastra","30"
"62","","Trimurti Pharma_Area","Active","72","Trimurti Pharma","0","active","1","WEST","Maharastra","17"
"63","","Anandi Sales_Area","Active","73","Anandi Sales","0","active","1","WEST","Maharastra","55"
"64","","Ashok Agencies_Area","Active","74","Ashok Agencies","0","active","1","WEST","Maharastra",""
"65","","Saurabh Marketing_Area","Active","75","Saurabh Marketing","0","active","1","WEST","Maharastra","5"
"66","","Om Generic_Area","Active","76","Om Generic","0","active","1","WEST","Maharastra","21"
"67","","Bharat Enterprises_Area","Active","78","Bharat Enterprises","0","active","1","WEST","Maharastra","143"
"68","","Kalika_Area","Active","79","Kalika","0","active","1","WEST","Maharastra","1195"
"69","","Vitthala Surgical and Pharma_Area","Active","87","Vitthala Surgical and Pharma","0","active","1","WEST","Maharastra","7"
"70","","Gargi Enterprises_Area","Active","80","Gargi Enterprises","0","active","1","WEST","Maharastra",""
"71","","Anand Distributor Ahamadnagar_Area","Active","86","Anand Distributor Ahamadnagar","0","active","1","WEST","Maharastra",""
"72","","Matoshree Distributor_Area","Active","85","Matoshree Distributor","0","active","1","WEST","Maharastra",""
"73","","Amol Surgical_Area","Active","88","Amol Surgical","0","active","1","WEST","Maharastra",""
"74","","Tirupati Stores_Area","Active","89","Tirupati Stores","0","active","1","WEST","Maharastra",""
"75","","Unibic food india private limited_Area","Active","90","Unibic Foods India Private Limited","0","active","1","WEST","Maharastra",""
"76","","Shree Vinayak Agencies_Area","Active","91","Shree Vinayak Agencies","0","active","1","WEST","Maharastra",""
"77","","DHANORI-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","14"
"78","","HADAPSAR","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","8"
"79","","KHARADI","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","2"
"80","","KHARADI-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","21"
"81","","KONDHWA 2-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","47"
"82","","New Wagholi","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","3"
"83","","New Wagholi-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","26"
"84","","RMT Dhanori, Viman Nagar-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","25"
"85","","RMT Khardi, Vadgaon Sheri-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","12"
"86","","RMT Lohegaon, Wagholi","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","2"
"87","","RMT Lohegaon, Wagholi-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","29"
"88","","RMT MagarPatta, Fursungi-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","43"
"89","","Vadgaon Sheri-NEW","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","2"
"90","","Vadgaon Sheri-NEW-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","28"
"91","","Viman Nagar","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","27"
"92","","Viman Nagar-TOP","Active","21","Vasudha Enterprises","0","active","1","WEST","Maharastra","38"
"93","","Narang Plastics Pvt Ltd_Area","Active","18","Narang Plastics Pvt Ltd","0","active","6","SOUTH","Karnataka","8184"
"94","","Phade Medical And General Store_Area","Active","92","Phade Medical & General Store","0","active","1","WEST","Maharastra","150"
"95","","Int_Manufacturer_Area","Active","93","Int_Manufacturer","0","active","7","Integration Zone","Integration Subzone","1"
"96","","Int_SS_Area","Active","94","Int_SS","0","active","7","Integration Zone","Integration Subzone",""
"97","","Int_Distributor_Area","Active","95","Int_Distributor","0","active","7","Integration Zone","Integration Subzone","7"
"98","","Shree Medical Agencies_Area","Active","96","Shree Medical Agencies","0","active","1","WEST","Maharastra","1"
"99","","Anand Pharma, Badami_Area","Active","97","Anand Pharma, Badami","0","active","6","SOUTH","Karnataka","1131"
"100","","Anjani Medical Agency, Malur_Area","Active","98","Anjani Medical Agency, Malur","0","active","6","SOUTH","Karnataka",""
"101","","Ashoka Pharma,Shivamogga_Area","Active","99","Ashoka Pharma,Shivamogga","0","active","6","SOUTH","Karnataka",""
"102","","Ashwini Medicals,Hosadurga_Area","Active","100","Ashwini Medicals,Hosadurga","0","active","6","SOUTH","Karnataka",""
"103","","Balaji Agencies, Chintamani_Area","Active","101","Balaji Agencies, Chintamani","0","active","6","SOUTH","Karnataka","19"
"104","","Benaka Scientifics, Bangalore_Area","Active","102","Benaka Scientifics, Bangalore","0","active","6","SOUTH","Karnataka",""
"105","","Bharath Traders,Kanakapura_Area","Active","103","Bharath Traders,Kanakapura","0","active","6","SOUTH","Karnataka",""
"106","","C.A.S. Agencies, Shidlaghatta_Area","Active","104","C.A.S. Agencies, Shidlaghatta","0","active","6","SOUTH","Karnataka","2"
"107","","Chethana Enterprises,Hassan_Area","Active","105","Chethana Enterprises,Hassan","0","active","6","SOUTH","Karnataka",""
"108","","Choudhari Medical Agencies,Gokak_Area","Active","106","Choudhari Medical Agencies,Gokak","0","active","6","SOUTH","Karnataka","6"
"109","","Chowdeshwari Enterprises, Sagara_Area","Active","107","Chowdeshwari Enterprises, Sagara","0","active","6","SOUTH","Karnataka","1"
"110","","D.D & Brothers, Bangalore_Area","Active","108","D.D & Brothers, Bangalore","0","active","6","SOUTH","Karnataka","200"
"111","","Dhanvanthri Agency, Arasikere_Area","Active","109","Dhanvanthri Agency, Arasikere","0","active","6","SOUTH","Karnataka",""
"112","","Dharati Agency, Hubli_Area","Active","110","Dharati Agency, Hubli","0","active","6","SOUTH","Karnataka",""
"113","","D K Agencies, Belaguam_Area","Active","111","D K Agencies, Belaguam","0","active","6","SOUTH","Karnataka",""
"114","","Durga Agencies, Bangalore_Area","Active","112","Durga Agencies, Bangalore","0","active","6","SOUTH","Karnataka",""
"115","","Durgashree Enterprises, Chamrajnagar_Area","Active","113","Durgashree Enterprises, Chamrajnagar","0","active","6","SOUTH","Karnataka",""
"116","","Ganesh General Store,Bidar_Area","Active","114","Ganesh General Store,Bidar","0","active","6","SOUTH","Karnataka",""
"117","","Giri Medicals, K R Nagar_Area","Active","115","Giri Medicals, K R Nagar","0","active","6","SOUTH","Karnataka",""
"118","","Girnar Pharma, Belgaum_Area","Active","116","Girnar Pharma, Belgaum","0","active","6","SOUTH","Karnataka","79"
"119","","Gowri Medicals, K R Nagar_Area","Active","117","Gowri Medicals, K R Nagar","0","active","6","SOUTH","Karnataka",""
"120","","Gupta's Kshanambika Pharma,Mysore_Area","Active","118","Gupta's Kshanambika Pharma,Mysore","0","active","6","SOUTH","Karnataka",""
"121","","Gupta Pharma, Mysore_Area","Active","119","Gupta Pharma, Mysore","0","active","6","SOUTH","Karnataka",""
"122","","H.K.S. Enterprises, Kalaburgi_Area","Active","120","H.K.S. Enterprises, Kalaburgi","0","active","6","SOUTH","Karnataka","1642"
"123","","H M S Stationary Stores, Byadgi_Area","Active","121","H M S Stationary Stores, Byadgi","0","active","6","SOUTH","Karnataka",""
"124","","Karnataka Enterprises, Hubli_Area","Active","122","Karnataka Enterprises, Hubli","0","active","6","SOUTH","Karnataka",""
"125","","Karthik Agencies,Kundapur_Area","Active","123","Karthik Agencies,Kundapur","0","active","6","SOUTH","Karnataka","23"
"126","","Kavita Fancy Store, Manvi_Area","Active","124","Kavita Fancy Store, Manvi","0","active","6","SOUTH","Karnataka","33"
"127","","K M K Pharma & Agency,Hospet_Area","Active","125","K M K Pharma & Agency,Hospet","0","active","6","SOUTH","Karnataka",""
"128","","K P Associates,Mangalore_Area","Active","126","K P Associates,Mangalore","0","active","6","SOUTH","Karnataka","110"
"129","","Lisa Traders,Bangalore_Area","Active","127","Lisa Traders,Bangalore","0","active","6","SOUTH","Karnataka",""
"130","","Mahalakshmi Enterprises, Bangalore_Area","Active","128","Mahalakshmi Enterprises, Bangalore","0","active","6","SOUTH","Karnataka","1083"
"131","","Mahant Pharma, Ramdurg_Area","Active","129","Mahant Pharma, Ramdurg","0","active","6","SOUTH","Karnataka","4"
"132","","Mahaveer Enterprises, Sindhanur_Area","Active","130","Mahaveer Enterprises, Sindhanur","0","active","6","SOUTH","Karnataka",""
"133","","Mahesh Pharma,Doddaballapur_Area","Active","131","Mahesh Pharma,Doddaballapur","0","active","6","SOUTH","Karnataka",""
"134","","Manjushree Enterprises, Shikaripura_Area","Active","132","Manjushree Enterprises, Shikaripura","0","active","6","SOUTH","Karnataka",""
"135","","Mayur Cosmetic, Bangalore_Area","Active","133","Mayur Cosmetic, Bangalore","0","active","6","SOUTH","Karnataka","16"
"136","","Medi Pluss Pharma,Shivamogga_Area","Active","134","Medi Pluss Pharma,Shivamogga","0","active","6","SOUTH","Karnataka",""
"137","","Meenakshi Marketing,Bangalore_Area","Active","135","Meenakshi Marketing,Bangalore","0","active","6","SOUTH","Karnataka",""
"138","","M H Distributor,Channapatna_Area","Active","136","M H Distributor,Channapatna","0","active","6","SOUTH","Karnataka","1269"
"139","","Muthu Meena Medicals, Hassan_Area","Active","137","Muthu Meena Medicals, Hassan","0","active","6","SOUTH","Karnataka",""
"140","","Nagakrupa Distributors, Tumkur_Area","Active","138","Nagakrupa Distributors, Tumkur","0","active","6","SOUTH","Karnataka",""
"141","","Nayak Medicals & General Stores,Honnavar_Area","Active","139","Nayak Medicals & General Stores,Honnavar","0","active","6","SOUTH","Karnataka","19"
"142","","Nimishamba Enterprises, Mysore_Area","Active","140","Nimishamba Enterprises, Mysore","0","active","6","SOUTH","Karnataka",""
"143","","Niriksha Enterprises, Ramanagar_Area","Active","141","Niriksha Enterprises, Ramanagar","0","active","6","SOUTH","Karnataka",""
"144","","Parvathi Agencies,Bailahongala_Area","Active","142","Parvathi Agencies,Bailahongala","0","active","6","SOUTH","Karnataka",""
"145","","Pharma Guides, Chikamagalur_Area","Active","143","Pharma Guides, Chikamagalur","0","active","6","SOUTH","Karnataka",""
"146","","Preeti Pharma, Vijayapura_Area","Active","144","Preeti Pharma, Vijayapura","0","active","6","SOUTH","Karnataka",""
"147","","Prerana Medical Agency(New),Kumta_Area","Active","145","Prerana Medical Agency(New),Kumta","0","active","6","SOUTH","Karnataka","23"
"148","","Prerana Medicals Agencies,Kumta_Area","Active","146","Prerana Medicals Agencies,Kumta","0","active","6","SOUTH","Karnataka",""
"149","","Priya Medical Agencies, Kampli_Area","Active","147","Priya Medical Agencies, Kampli","0","active","6","SOUTH","Karnataka",""
"150","","Raju Pharma, Hospet_Area","Active","148","Raju Pharma, Hospet","0","active","6","SOUTH","Karnataka",""
"151","","Ramesh Enterprises, Mudhol_Area","Active","149","Ramesh Enterprises, Mudhol","0","active","6","SOUTH","Karnataka","2"
"152","","Ravi Pharma, Mandya_Area","Active","150","Ravi Pharma, Mandya","0","active","6","SOUTH","Karnataka",""
"153","","Renuka Pharma,Hoskote_Area","Active","151","Renuka Pharma,Hoskote","0","active","6","SOUTH","Karnataka",""
"154","","Rohit Shopee, Belaguam_Area","Active","152","Rohit Shopee, Belaguam","0","active","6","SOUTH","Karnataka","61"
"155","","Sagar Sales,Bangalore_Area","Active","153","Sagar Sales,Bangalore","0","active","6","SOUTH","Karnataka",""
"156","","Sai Pharmaceutical Distributors, Yadgiri_Area","Active","154","Sai Pharmaceutical Distributors, Yadgiri","0","active","6","SOUTH","Karnataka",""
"157","","S.A.J. Enterprises, Mangalore_Area","Active","155","S.A.J. Enterprises, Mangalore","0","active","6","SOUTH","Karnataka","207"
"158","","Samantri Enterprises, Ranebennur_Area","Active","156","Samantri Enterprises, Ranebennur","0","active","6","SOUTH","Karnataka",""
"159","","Samarth Drug House, Gadag_Area","Active","157","Samarth Drug House, Gadag","0","active","6","SOUTH","Karnataka",""
"160","","Sangameshwar Distributors,Bidar_Area","Active","158","Sangameshwar Distributors,Bidar","0","active","6","SOUTH","Karnataka",""
"161","","Sanjeevani Medical & General Store,Mannekhalli_Area","Active","159","Sanjeevani Medical & General Store,Mannekhalli","0","active","6","SOUTH","Karnataka",""
"162","","Santhosh Pharma, Badami_Area","Active","160","Santhosh Pharma, Badami","0","active","6","SOUTH","Karnataka","1"
"163","","Savalagi Pharma, Bijapur_Area","Active","161","Savalagi Pharma, Bijapur","0","active","6","SOUTH","Karnataka",""
"164","","Shivani Pharma,Sindhanur_Area","Active","162","Shivani Pharma,Sindhanur","0","active","6","SOUTH","Karnataka",""
"165","","Shree Adishakti Traders, Bijapur_Area","Active","163","Shree Adishakti Traders, Bijapur","0","active","6","SOUTH","Karnataka","4"
"166","","Shree Dhanya Enterprises, Nelamangala_Area","Active","164","Shree Dhanya Enterprises, Nelamangala","0","active","6","SOUTH","Karnataka",""
"167","","Shree Pooja  & Co, Raichur_Area","Active","165","Shree Pooja  & Co, Raichur","0","active","6","SOUTH","Karnataka",""
"168","","Shree Rama Stores, Yellapur_Area","Active","166","Shree Rama Stores, Yellapur","0","active","6","SOUTH","Karnataka",""
"169","","Shree Sathyaa Shri Traders, Bangalore_Area","Active","167","Shree Sathyaa Shri Traders, Bangalore","0","active","6","SOUTH","Karnataka",""
"170","","Shri Chinchalibasaveshwara Enterprises, Haveri_Area","Active","168","Shri Chinchalibasaveshwara Enterprises, Haveri","0","active","6","SOUTH","Karnataka",""
"171","","Shri Gajanan Drugs Distributors, Bijapur_Area","Active","169","Shri Gajanan Drugs Distributors, Bijapur","0","active","6","SOUTH","Karnataka",""
"172","","Shri Kalmeshwar Medical, Jamakhandi_Area","Active","170","Shri Kalmeshwar Medical, Jamakhandi","0","active","6","SOUTH","Karnataka",""
"173","","Shri Laxmi Medical Agencies,Sirsi_Area","Active","171","Shri Laxmi Medical Agencies,Sirsi","0","active","6","SOUTH","Karnataka",""
"174","","Shri Someshwar Drug House, Bagalkot_Area","Active","172","Shri Someshwar Drug House, Bagalkot","0","active","6","SOUTH","Karnataka","5"
"175","","Shri Vasavambha Agency,Honnali_Area","Active","173","Shri Vasavambha Agency,Honnali","0","active","6","SOUTH","Karnataka",""
"176","","Shri Zawar Sales Corporation,Gokak_Area","Active","174","Shri Zawar Sales Corporation,Gokak","0","active","6","SOUTH","Karnataka","2"
"177","","SIddeshwara Pharma Distributors, Hospet_Area","Active","175","SIddeshwara Pharma Distributors, Hospet","0","active","6","SOUTH","Karnataka",""
"178","","Sindhu Enterprises, Kollegal_Area","Active","176","Sindhu Enterprises, Kollegal","0","active","6","SOUTH","Karnataka",""
"179","","S Kumar Pharma,Hiriyur_Area","Active","177","S Kumar Pharma,Hiriyur","0","active","6","SOUTH","Karnataka",""
"180","","S L N Enterprises,Bhadravathi_Area","Active","178","S L N Enterprises,Bhadravathi","0","active","6","SOUTH","Karnataka",""
"181","","SLVM Enterprises,Bangalore_Area","Active","179","SLVM Enterprises,Bangalore","0","active","6","SOUTH","Karnataka","219"
"182","","Somshudha Trading Co,Belgaum_Area","Active","180","Somshudha Trading Co,Belgaum","0","active","6","SOUTH","Karnataka",""
"183","","Sourabha Enterprises, Bangalore_Area","Active","181","Sourabha Enterprises, Bangalore","0","active","6","SOUTH","Karnataka","136"
"184","","Sowkya Agencies, Tumkur_Area","Active","182","Sowkya Agencies, Tumkur","0","active","6","SOUTH","Karnataka",""
"185","","Sree Vigneshwara Agencies,Bhadravathi_Area","Active","183","Sree Vigneshwara Agencies,Bhadravathi","0","active","6","SOUTH","Karnataka",""
"186","","Sri Anjanadri Enterprises, Bangalore_Area","Active","184","Sri Anjanadri Enterprises, Bangalore","0","active","6","SOUTH","Karnataka",""
"187","","Sri Balaji Distributors, Chitradurga_Area","Active","185","Sri Balaji Distributors, Chitradurga","0","active","6","SOUTH","Karnataka",""
"188","","Sri Basaveshwara Agencies, T Narasipura_Area","Active","186","Sri Basaveshwara Agencies, T Narasipura","0","active","6","SOUTH","Karnataka",""
"189","","Sri Beereshwara Enterprises, Bangalore_Area","Active","187","Sri Beereshwara Enterprises, Bangalore","0","active","6","SOUTH","Karnataka",""
"190","","Sri Bhairava Drug House, Tumkur_Area","Active","188","Sri Bhairava Drug House, Tumkur","0","active","6","SOUTH","Karnataka",""
"191","","Sri Durga Stores,Devanahalli_Area","Active","189","Sri Durga Stores,Devanahalli","0","active","6","SOUTH","Karnataka",""
"192","","Sri Gajanana Enterprises, Hoskote_Area","Active","190","Sri Gajanana Enterprises, Hoskote","0","active","6","SOUTH","Karnataka",""
"193","","Sri Lakshmi Enterprises, Mulabagilu_Area","Active","191","Sri Lakshmi Enterprises, Mulabagilu","0","active","6","SOUTH","Karnataka","5"
"194","","Sri Mangala Agencies, Puthur_Area","Active","192","Sri Mangala Agencies, Puthur","0","active","6","SOUTH","Karnataka","22"
"195","","Sri Maruthi Enterprises, Shivamogga_Area","Active","193","Sri Maruthi Enterprises, Shivamogga","0","active","6","SOUTH","Karnataka",""
"196","","Sri Murahari Agencies, Bellary_Area","Active","194","Sri Murahari Agencies, Bellary","0","active","6","SOUTH","Karnataka",""
"197","","Srinivas Medilink, Bidar_Area","Active","195","Srinivas Medilink, Bidar","0","active","6","SOUTH","Karnataka","4"
"198","","Sri Raghavendra Enterprises, Jamkhandi_Area","Active","196","Sri Raghavendra Enterprises, Jamkhandi","0","active","6","SOUTH","Karnataka","8"
"199","","Sri Raghavendra Enterprises,Manvi_Area","Active","197","Sri Raghavendra Enterprises,Manvi","0","active","6","SOUTH","Karnataka",""
"200","","Sri Rameshwara Pharma,Arasikere_Area","Active","198","Sri Rameshwara Pharma,Arasikere","0","active","6","SOUTH","Karnataka",""
"201","","Sri Sai Enterprises(New),Shivamogga_Area","Active","199","Sri Sai Enterprises(New),Shivamogga","0","active","6","SOUTH","Karnataka",""
"202","","Sri Sai Enterprises,Shivamogga_Area","Active","200","Sri Sai Enterprises,Shivamogga","0","active","6","SOUTH","Karnataka",""
"203","","Sri Sapthagiri Enterprises,Gonikoppa_Area","Active","201","Sri Sapthagiri Enterprises,Gonikoppa","0","active","6","SOUTH","Karnataka",""
"204","","Sri Shivashakthi Medicals & GL Store,Channagiri_Area","Active","202","Sri Shivashakthi Medicals & GL Store,Channagiri","0","active","6","SOUTH","Karnataka",""
"205","","Sri Vari Marketing, Chitradurga_Area","Active","203","Sri Vari Marketing, Chitradurga","0","active","6","SOUTH","Karnataka",""
"206","","Sri Venkateshwara Agency, Bangalore_Area","Active","204","Sri Venkateshwara Agency, Bangalore","0","active","6","SOUTH","Karnataka","87"
"207","","Sri Venkateshwara Medical Distributors, Kolar_Area","Active","205","Sri Venkateshwara Medical Distributors, Kolar","0","active","6","SOUTH","Karnataka",""
"208","","S R N Pharma & Surgical,Shikaripura_Area","Active","206","S R N Pharma & Surgical,Shikaripura","0","active","6","SOUTH","Karnataka",""
"209","","Suba Pharmages, Hubli_Area","Active","207","Suba Pharmages, Hubli","0","active","6","SOUTH","Karnataka",""
"210","","Sun Health Needs,Bangalore_Area","Active","208","Sun Health Needs,Bangalore","0","active","6","SOUTH","Karnataka",""
"211","","Supreme Pharmaceutical Distributors, Mannekhalli_Area","Active","209","Supreme Pharmaceutical Distributors, Mannekhalli","0","active","6","SOUTH","Karnataka",""
"212","","Suresh Agency, Ilkal_Area","Active","210","Suresh Agency, Ilkal","0","active","6","SOUTH","Karnataka","1"
"213","","Susheel Medical & Surgical Distributors,Nipani_Area","Active","211","Susheel Medical & Surgical Distributors,Nipani","0","active","6","SOUTH","Karnataka",""
"214","","Suvarna Enterprises, Udupi_Area","Active","212","Suvarna Enterprises, Udupi","0","active","6","SOUTH","Karnataka",""
"215","","Swastik Pharma Bannanje,Udupi_Area","Active","213","Swastik Pharma Bannanje,Udupi","0","active","6","SOUTH","Karnataka","1"
"216","","Tarun Medical Agencies, Dharwad_Area","Active","214","Tarun Medical Agencies, Dharwad","0","active","6","SOUTH","Karnataka",""
"217","","Udaya Medical Stores, Shahapur_Area","Active","215","Udaya Medical Stores, Shahapur","0","active","6","SOUTH","Karnataka",""
"218","","Universal Pharma,Mysore_Area","Active","216","Universal Pharma,Mysore","0","active","6","SOUTH","Karnataka",""
"219","","Varun Pharma,Kanakapura_Area","Active","217","Varun Pharma,Kanakapura","0","active","6","SOUTH","Karnataka",""
"220","","Vet & Pet Pharma,Sagara_Area","Active","218","Vet & Pet Pharma,Sagara","0","active","6","SOUTH","Karnataka",""
"221","","SRVS Agency, Cuddalore_Area","Active","249","SRVS Agency, Cuddalore","0","active","6","SOUTH","Tamilnadu",""
"222","","Shree Arihant Enterprises, Chennai_Area","Active","250","Shree Arihant Enterprises, Chennai","0","active","6","SOUTH","Tamilnadu",""
"223","","B.M.Brothers, Puraswakkam_Area","Active","251","B.M.Brothers, Puraswakkam","0","active","6","SOUTH","Tamilnadu",""
"224","","Radhika  Enterprises, Velachery_Area","Active","252","Radhika  Enterprises, Velachery","0","active","6","SOUTH","Tamilnadu",""
"225","","Mahaveer Agencies, Ramapuram_Area","Active","253","Mahaveer Agencies, Ramapuram","0","active","6","SOUTH","Tamilnadu",""
"226","","Karpagam Medical Agencies, Vanagaram_Area","Active","254","Karpagam Medical Agencies, Vanagaram","0","active","6","SOUTH","Tamilnadu",""
"227","","Muthamizh Mugavanmai, Perambur_Area","Active","255","Muthamizh Mugavanmai, Perambur","0","active","6","SOUTH","Tamilnadu",""
